model vertices:
(0.023600,-0.086540,-0.001530)
(0.024350,-0.083880,-0.001450)
(0.025000,-0.083690,-0.001830)
(0.025560,-0.083880,-0.001860)
(0.026100,-0.083880,0.000090)
(0.025960,-0.083880,0.002570)
(0.025480,-0.083650,0.003400)
(0.024750,-0.083880,0.003780)
(0.023800,-0.086400,0.004010)
(0.022730,-0.089180,0.003780)
(0.021830,-0.089890,0.003840)
(0.021120,-0.090000,0.003380)
(0.020660,-0.089440,0.000430)
(0.021120,-0.088780,-0.002260)
(0.021860,-0.089160,-0.002320)
(0.022730,-0.089180,-0.001860)
(0.023040,-0.085680,-0.001700)
(0.023740,-0.083090,-0.001610)
(0.024430,-0.082920,-0.001920)
(0.025010,-0.083120,-0.001880)
(0.025450,-0.083110,0.000100)
(0.025240,-0.083070,0.002480)
(0.024830,-0.082850,0.003150)
(0.024230,-0.083030,0.003470)
(0.023260,-0.085500,0.003820)
(0.022140,-0.088290,0.003770)
(0.021310,-0.088990,0.003860)
(0.020640,-0.089130,0.003420)
(0.020090,-0.088600,0.000470)
(0.020460,-0.087920,-0.002300)
(0.021260,-0.088300,-0.002410)
(0.022200,-0.088280,-0.001980)
(0.021330,-0.082680,-0.002320)
(0.022020,-0.080290,-0.002160)
(0.022830,-0.080150,-0.002280)
(0.023470,-0.080400,-0.002020)
(0.023680,-0.080320,0.000200)
(0.023290,-0.080190,0.002380)
(0.023050,-0.080020,0.002750)
(0.022680,-0.080100,0.002920)
(0.021590,-0.082390,0.003520)
(0.020250,-0.085160,0.003900)
(0.019550,-0.085870,0.004010)
(0.019000,-0.086080,0.003590)
(0.018230,-0.085600,0.000560)
(0.018400,-0.084900,-0.002490)
(0.019330,-0.085240,-0.002780)
(0.020460,-0.085150,-0.002460)
(0.018440,-0.076910,-0.003520)
(0.019350,-0.074790,-0.003270)
(0.020410,-0.074690,-0.003080)
(0.021170,-0.075030,-0.002380)
(0.021080,-0.074830,0.000410)
(0.020460,-0.074570,0.002590)
(0.020330,-0.074460,0.002680)
(0.020150,-0.074460,0.002700)
(0.018690,-0.076500,0.003560)
(0.016870,-0.079150,0.004360)
(0.016300,-0.079880,0.004450)
(0.015900,-0.080190,0.003960)
(0.014850,-0.079770,0.000620)
(0.014760,-0.079020,-0.002970)
(0.015900,-0.079310,-0.003570)
(0.017340,-0.079140,-0.003440)
(0.014340,-0.067700,-0.005440)
(0.015870,-0.065920,-0.005080)
(0.017360,-0.065890,-0.004490)
(0.018290,-0.066330,-0.003070)
(0.018000,-0.065930,0.000730)
(0.017080,-0.065510,0.003380)
(0.016920,-0.065460,0.003430)
(0.016680,-0.065510,0.003380)
(0.014430,-0.067260,0.004450)
(0.011830,-0.069590,0.005390)
(0.011300,-0.070390,0.005330)
(0.011020,-0.070820,0.004590)
(0.009690,-0.070420,0.000590)
(0.009410,-0.069590,-0.003870)
(0.010760,-0.069810,-0.004950)
(0.012640,-0.069590,-0.005080)
(0.008230,-0.055800,-0.008750)
(0.011330,-0.054380,-0.008180)
(0.013600,-0.054410,-0.007000)
(0.014790,-0.054800,-0.004380)
(0.014710,-0.054330,0.001360)
(0.013290,-0.053850,0.005800)
(0.012630,-0.053760,0.006540)
(0.011510,-0.053960,0.006730)
(0.007540,-0.055420,0.007690)
(0.003660,-0.057280,0.007810)
(0.002810,-0.058090,0.007300)
(0.002520,-0.058560,0.005870)
(0.001070,-0.058230,0.000400)
(0.000990,-0.057440,-0.005570)
(0.002540,-0.057540,-0.007430)
(0.005030,-0.057310,-0.007970)
(0.000720,-0.041510,-0.013200)
(0.006240,-0.040470,-0.012270)
(0.009520,-0.040450,-0.010350)
(0.011080,-0.040670,-0.006230)
(0.011530,-0.040320,0.002260)
(0.009580,-0.039970,0.009560)
(0.007980,-0.039860,0.011820)
(0.005260,-0.040070,0.012440)
(-0.001110,-0.041180,0.012790)
(-0.006750,-0.042520,0.011370)
